ID,ISEMESTRE2025,2120500202,21202250,21202230,2120500201,21202180,21206810,21202190,21202220,21201580,21201980,21201200,21202240,21206900,21206890,21206780,21208480,2120000108,2120000119,2120000117,2120000104,2120000103,2120000105,2120000107,2120000106,2120700038,2120700154,2120700037,2120000142,2120000099,2120000109,2120000100,2120000123,2120000124,2120000101,2120000120,2120000125,2120000122,2120000118,2120000130,2120000126,2120000129,2120000128,2120000131,2120000132,2120000134,2120000133,2120000136,2120000137,2120000135,2120000138,2120000139,2120000140,2120000127,2120000169,2120000170,2120000171,2120000172,2120000173,2120000174,2120000175,2120000121,Por asignar,2120700156,2120700157,2120700211,2120700158,2120500203,Por Asignar,Por Asignar,Por Asignar,Por Asignar
1,FECHALECTURA,Col Sierra Morena,Doña Juana,UAN Usme,Vitelma,Quiba,San Benito–río Tunjuelo,Juan Rey,Paraíso,Pasquilla,Guadalupe,La Unión,UAN Circunvalar,La Esperanza,Cerro Cazadores,Independencia–río Tunjuelo,Kennedy–río Tunjuelo,FOPAE–IDIGER,Col Alemania Unificada,Col Moralba Suroriental,COLMAC,Cerro Norte,El Codito,La Fiscala,Gran Bretaña,San Francisco–qda Limas,Molinos–qda Chiguaza,Casas Fiscales Artillería,Col Carlos Pizarro,Col 21 Ángeles,Col Rodolfo Llinás,Col Francisco Primero S.S.,Col La Chucua,Col Rafael Uribe Uribe,Altos de la Estancia,Col Gustavo Morales Morales,Col Sorrento,INEM Fco de Paula Santander,Col Alberto Lleras Camargo,Col Paulo Freire,Col Ciudad de Villavicencio,Col Ofelia Uribe,Col Gabriel Garcia Márquez,Col Antonio García,Col El Tesoro de la Cumbre,Col Los Alpes,Col El Manantial,Col Los Pinos,Col Friedrich Naumann,Col Manuel Elkin Patarroyo,Col Nueva Zelandia,Esc Pedagógica Experimental,Fund Ana Restrepo del Corral,Col Eduardo Umaña,Col La Belleza,Col Simón Rodríguez,Col Agustín Fernández,Col Unión Colombia,Col Carlo Federici,Col Magdalena Ortega Nariño,Col La Felicidad,Col Gustavo Restrepo,La Viga,Chicú–río Bogotá,La Ramada–río Bogotá,Cra 56B–canal río Salitre,El Tabaco–río Bogotá,Gravilleras–río Tunjuelo,Nazareth,Escuela Col Ingeniería,Palomar Príncipe IDPC,San Juan Sumapaz
2,01/07/2025,"11,5","17,5","25,5","20,1","15,8","12,8",29,"14,4","25,4","16,3","26,4","15,3","35,7","13,6","14,1","12,9","11,5","15,2","23,5",,"8,8","8,7","17,6","24,6",13,15,"16,4","12,1","6,9","6,9","13,8","14,1","13,3","12,8","6,6","14,2","14,5","6,4","18,2","32,9","24,7","25,9",11,"12,6",18,"21,7","17,3","8,1","11,6","6,9","13,7","10,4",24,"22,7","15,3","7,7","4,2","11,4","8,8","10,7","14,2","15,6","7,1","9,7","12,7","11,8","15,8","38,3","7,6",,
3,02/07/2025,"4,7","6,6",9,"10,2","5,6","3,3","19,6","8,2","10,5","8,1","12,3","7,7","19,3","2,9","5,2",6,"2,4","8,3",17,,"1,9",1,"10,8","12,1","4,9","6,9",5,"3,2","0,8","1,1","5,8","4,9","3,7","6,9","0,6","2,5",5,"0,7","7,1","15,6","11,6","14,1","3,9","5,6","11,9","10,6",5,"1,1","6,2","0,4","3,5","2,2","10,3",18,"7,9","1,5","0,4","3,4","0,8","3,7","5,1","7,2","0,6","2,4","1,9","3,5","5,3","12,4","0,5",,
4,03/07/2025,"0,1","4,1","6,7","12,5","1,2","0,9","12,8","5,7","5,7","12,7","1,7","4,2","19,1","3,1",0,0,"1,5","6,5","17,7",,"2,2","3,3","5,9","3,5","0,4","4,3","1,9",0,"1,1","1,4","2,7","0,5","1,7","0,2","1,1",2,"0,1","1,3","3,6","10,3","6,5","5,7","0,8","0,5","10,6","11,1","6,1","1,6","5,8","0,9","3,4","1,5","7,1","10,9","4,5","1,6","1,1","0,1","1,8","0,7","2,8","16,2","2,7","0,1",2,0,"2,6","7,4","2,4",,
5,04/07/2025,0,0,"0,2","3,2",0,0,"2,2",0,"0,4","1,9",1,0,"5,6",1,0,0,0,"0,3","3,3",,1,"0,1",0,"0,1",0,0,0,0,"0,5","0,2",0,0,0,0,"0,1",0,0,"0,4",0,"0,9","0,4","1,6",0,0,"1,1","1,6","0,4","0,2",0,"0,6","1,2","0,2","0,4","1,2","0,1","0,8","0,2",0,0,0,0,"1,5","0,6","0,5","3,3",0,0,"2,4","0,4",,
6,05/07/2025,0,0,"0,2","0,7",0,0,"0,6","0,1","0,1","0,4","1,9",0,"3,3","0,7",0,0,0,0,"0,5",,0,"0,1","0,1","0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,4","0,3","0,8",0,0,"0,2","0,4",0,0,0,0,"0,6",0,"0,1","0,3",0,0,0,0,0,0,0,"0,6",0,0,0,0,0,"3,2",0,,
7,06/07/2025,0,0,0,0,0,0,"0,4",0,0,0,0,0,"0,3",0,"0,2","0,1","0,4",0,0,,0,"1,4",0,"0,1",0,0,0,"0,3",0,"0,4",0,"0,1",0,0,"0,1",0,"0,3","0,5",0,"0,1",0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,0,0,"1,1","0,4","0,8","0,2",0,"0,4","2,4",1,0,1,0,"3,2","0,3",,
8,07/07/2025,"0,1",0,0,"0,7",0,0,"1,3","0,2",1,"0,9","2,1","0,1","2,1","0,4",0,0,0,"0,2","0,8",,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,6","0,3","0,6",0,0,"0,3","0,6","0,3",0,0,0,"0,4",0,"0,1","0,5",0,0,0,0,0,0,0,"0,5",0,0,0,0,0,"5,7",0,,
9,08/07/2025,"0,3","2,5","3,6","2,2","0,6","0,4","7,3","1,3","7,6","1,7","6,3",1,"10,2","2,8",0,0,"0,7",2,"6,8",,"5,5",6,"2,7","2,5","0,3","1,2","0,4","0,1","2,9","1,1","0,6","0,4","0,4","0,2","2,6",0,0,"2,8","1,7",5,"4,3","5,4","0,4","0,4",3,"3,2",1,"4,9","0,8","3,2","4,5","5,1","2,4","5,4",1,5,"2,9","0,2","0,6","0,2","0,4","2,6","2,1","0,5","0,7",0,"1,4","13,6",4,,
