rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7nrd0eIftH3NQLfgk20Qp9","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)","WEA Latina",1,1,3,"2226291"
2,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",1,2,29,"2165791"
3,"spotify:track:7sRXb5IgYWwVv1DaavHSNs","Blessd, Fuerza Regida, Ovy On The Drums","COMO OREO","WEA Latina",3,9,2,"1836653"
4,"spotify:track:1HEwEN64NjgTaHmo7LfkX8","Beéle","no tiene sentido","5020 Records",2,4,17,"1769311"
5,"spotify:track:2QP041AcWg8PwPIWP95RKN","Beéle","top diesel","5020 Records",3,5,17,"1646446"
6,"spotify:track:7koAf6aZgjO6TS7bipfPD0","Ovy On The Drums, Quevedo, Beéle","YO y TÚ","WEA Latina",2,3,13,"1592560"
7,"spotify:track:6OCNg7QchXJMww1LHMjIzb","Nicky Jam, Beéle","Hiekka","Nicky Jam",1,12,19,"1587219"
8,"spotify:track:4zhk2RS2EZODmBW6il55Qj","Beéle, Ovy On The Drums","mi refe","5020 Records",1,10,40,"1542404"
9,"spotify:track:2RnCVOUcOaPeTlFRW3NHQJ","Kybba, Sean Paul, Ryan Castro, Busy Signal","Ba Ba Bad Remix","Basshall",2,8,11,"1493062"
10,"spotify:track:6rZno3nqeT7hv2PnSWRuYS","Blessd","YOGURCITO","WEA Latina",6,6,54,"1479596"
11,"spotify:track:1kJyDcBrZ7rSKnFtKc82vm","Blessd, Ovy On The Drums","AMISTA","WEA Latina",2,7,20,"1465952"
12,"spotify:track:1C7NXX8UJ6pgNx8EkmyZDd","Beéle","si te pillara","5020 Records",6,14,16,"1364443"
13,"spotify:track:6VfL3MEuYeJbDlD8m011HR","Beéle","quédate","5020 Records",2,11,17,"1327681"
14,"spotify:track:46ufabZP6oK3ixmN6Gd753","Ryan Castro, Dongo","SANKA","AWOO Corp./Sony Music Latin",7,15,14,"1319159"
15,"spotify:track:2tKVinInf0PJS1iG04zzqi","Blessd, Sebastian Ledher, Tayson Kryss, Joseph Ren","UNA NOCHE DE LOCURA","WEA Latina",10,13,16,"1246697"
16,"spotify:track:6uiQ0DqbXTBc8tl0AUKZkR","Rels B","TU VAS SIN (fav)","DALE PLAY Records / Flakk Team",16,20,10,"1213314"
17,"spotify:track:0Qe2g06yzLBuuSvVmFiweP","Nanpa Básico, Beéle","Hasta Aquí Llegué","5020 Records",3,16,60,"1185690"
18,"spotify:track:0nafF9MxcXJBQWv3BTKtdF","KAROL G, Feid","Verano Rosa","Bichota/Interscope Records",5,17,12,"1131102"
19,"spotify:track:4zqFA9MOG86u7uugR8QFDU","Kapo, Ryan Castro","DÓNDE","Sony Music Latin/La Industria",16,21,10,"1094771"
20,"spotify:track:1PREzVLuDT6PSE9sej4wnV","Fuerza Regida, Grupo Frontera","COQUETA","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",20,24,19,"1033455"
21,"spotify:track:569xAmXCkpM3IsEOiG4hWe","Kenny Die, Blessd, Kris R., Sebas","Ultra Complicado (feat. Sebas) - Remix","WEA Latina",3,18,30,"1027034"
22,"spotify:track:3AoF1Fd8rWPBTIfGkcxdQM","Feid","SE LO JURO MOR","Universal Music Latino",17,19,4,"955088"
23,"spotify:track:0fMjldiEpgjbWQ4bBQwVzH","Kapo","UWAIE","Sony Music Latin/La Industria",1,29,56,"923861"
24,"spotify:track:3ClyThLf2bguwdMcm7hqZ2","Kris R., Blessd","COSITAS","WEA Latina",16,22,5,"917728"
25,"spotify:track:13BDiikG6y5o5cQTK0HpW6","W Sound, Blessd, Ovy On The Drums","Soltera - W Sound 01","WEA Latina",1,23,58,"906317"
26,"spotify:track:3fmw8iIyQDS2L7nE6Wd0xG","Beéle","sobelove","5020 Records",5,25,27,"883732"
27,"spotify:track:0DMJz677XfXiiruhIELu2e","Jombriel, DFZM, Jøtta","VITAMINA","WEA Latina",2,26,28,"851079"
28,"spotify:track:7bywjHOc0wSjGGbj04XbVi","Feid, ATL Jacob","LUNA","UMLE - Latino",1,30,93,"831532"
29,"spotify:track:7ns16ylM6sbxo9ZWIwyE5d","Danny Ocean, Kapo","Imagínate","Atlantic Records",1,38,44,"760937"
30,"spotify:track:3ddJ8Vbc5tYPxq5zKRVke6","KAROL G, Marco Antonio Solís","Coleccionando Heridas","Bichota/Interscope Records",10,32,12,"760030"
31,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",1,33,36,"734813"
32,"spotify:track:3mg9jYNC1NihbthlglzrWP","KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd","+57","Bichota/Interscope Records",1,37,44,"731253"
33,"spotify:track:64zQbQTwu4ppBEfWyhst9t","KAROL G","Papasito","Bichota/Interscope Records",5,34,12,"728800"
34,"spotify:track:0akaZYAc94xnVRKpuP2Lvt","Blessd, Kris R.","JOKER","WEA Latina",12,28,16,"727471"
35,"spotify:track:1o4xkdBe0RjSf2u6VXi4OI","Yan Block, Panda Black","444","SONAR LLC.",30,31,60,"722095"
36,"spotify:track:4TFjpINnVhINpTdrtNQIvx","Kapo, Feid","X TI","Sony Music Latin/La Industria",19,36,10,"715714"
37,"spotify:track:6eLQXa6uk2EW8drsiKbABZ","Fuerza Regida","TU SANCHO","Rancho Humilde/Street Mob Records/Sony Music Latin",37,49,9,"698910"
38,"spotify:track:6ifUES3keWjwXgae8pXI3o","Danny Ocean","Me Rehúso","Atlantic Records",1,39,455,"692793"
39,"spotify:track:4sTnItbNUAcS5KDG6vTA5B","Blessd, Los Money Makers, Prodmonja","URUS BLUE","WEA Latina",32,35,15,"692584"
40,"spotify:track:0JY2QXSvlpA8DZwgaAYWlY","Miguel Bueno, Juan Duque","Solcito","Sony Music Latin",4,41,26,"689168"
41,"spotify:track:482PEx8hfMHSsuGtHd960A","Kapo","OHNANA","Sony Music Latin/La Industria",3,59,65,"669939"
42,"spotify:track:5Gis9Pxk7Cl9hAoV6rwj50","Jombriel, Ryan Castro, Alex Krack","Parte & Choke (with Ryan Castro) - Remix","WEA Latina",3,40,33,"665718"
43,"spotify:track:2Kx9AfJPaJib9DwAdDYdB9","Ryan Castro, Blaiz Fayah, Tribal Kush","BOMBASTIK<3","AWOO Corp./Sony Music Latin",20,46,15,"664411"
44,"spotify:track:3YSkiK0JAaWvZVh0rFa3ja","Ryan Castro","Ojalá","AWOO Corp./Sony Music Latin",19,56,18,"657118"
45,"spotify:track:1B1maIpcMpPDZ8GT0WHT0V","KAROL G","Milagros","Bichota/Interscope Records",5,44,18,"646573"
46,"spotify:track:3KZCP2StVGdWkOKyRZNWA4","Plan B","Es un Secreto","Pina Records",18,48,241,"646158"
47,"spotify:track:3qwEwtnOb6TyJkSGYEm02h","Greeicy","Quiero +","Universal Music Latino",43,43,3,"644959"
48,"spotify:track:3hpm0fTeSqlhJbnqAgaLZs","Fuerza Regida","Marlboro Rojo","Rancho Humilde/Street Mob Records/Sony Music Latin",48,57,8,"638154"
49,"spotify:track:4DnrAI8WyUY6gkOwl8GlPN","Alleh, Yorghaki","capaz (merengueton)","CONMUER LLC",17,47,40,"636718"
50,"spotify:track:4XGFya44QyFTbB1pBT1TLi","Anuel AA, Blessd, Ovy On The Drums","Portate Bonito","Real Hasta La Muerte, LLC",24,27,3,"632098"
51,"spotify:track:3CHcEAW2hG6rlT2W1LlOtQ","Kris R., Prodmonja","ELECTROLIBONBON","WEA Latina",17,45,6,"625907"
52,"spotify:track:1JXcB149QtbcIpDUA6YZOB","Grupo Niche","Algo Que Se Quede","Grupo Niche",30,42,210,"602392"
53,"spotify:track:1YYfyJ2yCvGFCxwjsIqEK9","Rauw Alejandro, Romeo Santos","Khé?","Sony Music Latin/Duars Entertainment",7,63,43,"594217"
54,"spotify:track:281YJmnThveWjsWVic9Ym6","Kris R., Blessd","Las Piponas (Remix)","La K Company SAS",3,52,50,"589561"
55,"spotify:track:4feh4Ak3ZJfC6ibxkNzlkE","Boza, ELENA ROSE","orióN","Sony Music Latin",6,76,65,"574415"
56,"spotify:track:5DdLSEyKh8zgCrJq2hFj92","Yan Block, TORRRES","Yo sé","SONAR LLC.",42,53,36,"568771"
57,"spotify:track:2btNsI4OvcVl7SAHQQDHFB","Blessd, Ovy On The Drums","Mírame","WEA Latina",1,64,73,"565734"
58,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",2,55,324,"562577"
